aX,aY,aZ,gX,gY,gZ
0.366,-0.956,-1.413,8.118,14.038,-18.86
0.353,-0.964,-1.475,28.625,6.47,-20.264
0.375,-0.938,-1.501,57.678,-3.54,-17.334
0.349,-0.951,-1.458,82.52,-13.245,-13.062
0.361,-0.934,-1.417,107.788,-20.203,-8.606
0.416,-0.926,-1.385,141.724,-22.034,-6.287
0.477,-0.915,-1.392,178.284,-14.221,-15.869
0.407,-0.914,-1.554,221.252,-1.038,-33.264
0.408,-0.899,-1.594,254.028,18.555,-44.373
0.384,-0.859,-1.676,281.372,40.71,-48.34
0.336,-0.834,-1.709,300.842,54.016,-50.659
0.292,-0.761,-1.755,321.96,56.519,-50.049
0.272,-0.692,-1.823,342.224,42.786,-46.814
0.229,-0.633,-1.839,352.417,22.278,-42.786
0.191,-0.59,-1.793,362.793,0.854,-38.696
0.21,-0.516,-1.697,371.826,-20.813,-36.011
0.24,-0.432,-1.574,374.573,-39.734,-35.095
0.249,-0.4,-1.511,383.24,-49.5,-34.058
0.24,-0.388,-1.447,396.729,-50.903,-31.799
0.243,-0.329,-1.381,413.94,-49.866,-27.344
0.218,-0.213,-1.301,427.856,-48.706,-24.78
0.188,-0.094,-1.186,429.932,-46.143,-25.513
0.159,-0.006,-1.055,419.495,-45.654,-29.175
0.141,0.017,-0.906,405.029,-46.692,-35.461
0.116,0.003,-0.787,390.381,-47.424,-41.87
0.086,-0.012,-0.688,376.099,-48.157,-44.128
0.052,-0.01,-0.586,364.563,-51.025,-44.373
0.033,-0.008,-0.463,354.797,-56.763,-45.41
0.02,0,-0.345,344.849,-64.758,-46.631
0.027,0.013,-0.232,329.834,-71.533,-47.729
0.061,-0.017,-0.075,308.96,-78.064,-49.622
0.085,-0.045,0.09,290.344,-86.304,-52.551
0.131,-0.071,0.185,280.945,-96.375,-54.077
0.153,-0.017,0.245,268.86,-108.093,-54.199
0.19,0.036,0.324,249.329,-122.131,-45.471
0.217,0.07,0.436,227.661,-137.146,-32.104
0.23,0.1,0.554,208.618,-148.804,-19.775
0.254,0.144,0.672,191.833,-151.428,-11.536
