aX,aY,aZ,gX,gY,gZ
-0.124,-1.238,-1.46,113.281,11.108,91.98
-0.139,-1.21,-1.497,120.056,6.226,104.675
-0.11,-1.114,-1.552,119.812,6.592,118.225
-0.126,-1.083,-1.561,113.525,13.733,127.319
-0.137,-1.078,-1.516,101.318,21.973,128.967
-0.165,-1.006,-1.33,82.947,18.494,122.07
-0.236,-0.842,-1.024,66.956,7.141,110.046
-0.348,-0.632,-0.587,63.171,-6.104,92.651
-0.506,-0.42,-0.049,67.017,-18.433,70.068
-0.716,-0.104,0.561,73.364,-23.865,51.086
-0.927,0.303,1.095,89.05,-18.494,43.213
-1.166,0.852,1.443,110.107,-12.268,52.673
-1.425,1.458,1.621,129.333,-6.042,76.66
-1.578,2.089,1.697,144.592,5.493,109.985
-1.676,2.7,1.653,152.039,21.545,152.954
-1.704,3.227,1.544,157.532,41.748,205.261
-1.605,3.65,1.187,186.768,59.082,251.099
-1.045,3.852,0.461,229.126,64.88,291.443
-0.115,3.999,-0.253,255.432,60.486,334.9
0.797,4,-0.812,250.854,39.368,350.159
1.909,4,-1.467,222.778,16.968,325.562
2.747,4,-2.144,159.668,12.451,266.113
2.511,3.333,-2.318,71.899,17.517,144.104
1.752,2.568,-1.849,-28.015,-2.136,-40.649
0.828,2.336,-0.914,-136.902,-56.763,-218.628
-0.164,2.049,-0.013,-185.425,-129.517,-339.905
-0.901,1.601,0.526,-164.734,-182.129,-397.156
-1.167,1.146,0.67,-118.225,-183.472,-381.226
-1.157,0.843,0.56,-97.778,-123.169,-300.171
-0.988,0.825,0.422,-113.831,-23.01,-188.66
-0.73,0.953,0.345,-149.841,76.172,-86.243
-0.469,1.09,0.265,-176.758,140.564,-18.005
-0.246,1.206,0.198,-181.641,149.048,10.376
-0.112,1.226,0.129,-168.579,110.107,1.038
-0.046,1.152,0.038,-147.705,54.382,-31.616
-0.055,1.008,-0.044,-130.31,3.723,-70.618
-0.128,0.879,-0.09,-122.986,-33.63,-102.783
-0.2,0.754,-0.122,-119.507,-53.955,-122.253
-0.251,0.59,-0.151,-117.31,-57.129,-127.441
-0.258,0.487,-0.178,-115.845,-48.828,-116.089
-0.209,0.451,-0.208,-116.211,-34.363,-90.088
-0.135,0.445,-0.282,-114.685,-15.625,-59.692
-0.044,0.431,-0.399,-108.948,1.709,-35.095
0.021,0.396,-0.507,-101.074,11.719,-20.325
0.066,0.376,-0.589,-93.567,12.878,-15.93
0.12,0.37,-0.628,-86.914,4.333,-16.968
0.19,0.374,-0.659,-81.055,-6.042,-18.799
0.277,0.421,-0.725,-76.599,-12.268,-20.569
0.336,0.439,-0.792,-76.416,-13.489,-25.269
0.379,0.43,-0.883,-80.078,-11.292,-35.278
0.37,0.393,-0.907,-85.449,-10.437,-48.645
0.336,0.336,-0.894,-91.553,-11.597,-62.073
0.268,0.344,-0.888,-99.792,-16.418,-72.144
0.23,0.245,-0.776,-96.924,-26.489,-81.604
0.071,0.152,-0.678,-84.29,-31.372,-82.275
-0.039,-0.009,-0.744,-63.354,-25.696,-81.116
-0.009,-0.063,-0.762,-40.344,-24.719,-73.547
0.003,-0.037,-0.741,-12.756,-30.762,-60.181
-0.007,-0.137,-0.93,16.052,-21.851,-54.871
0.027,-0.158,-0.942,34.485,-17.761,-40.466
0.103,-0.075,-1.001,45.837,-13.611,-17.212
0.156,-0.065,-1.138,48.645,3.113,-2.502
0.18,-0.091,-1.206,42.603,18.738,0.793
0.193,-0.105,-1.241,33.691,23.437,-0.427
0.175,-0.104,-1.226,29.358,15.625,-1.648
0.139,-0.134,-1.22,35.095,0.854,-5.493
0.117,-0.158,-1.223,44.434,-15.564,-10.925
0.1,-0.153,-1.206,52.734,-29.419,-12.634
0.081,-0.131,-1.196,57.251,-34.607,-8.24
0.102,-0.092,-1.198,57.8,-28.87,0.793
0.142,-0.046,-1.21,53.955,-16.479,13.062
0.176,0.004,-1.224,47.18,-1.038,23.865
0.196,0.074,-1.229,39.368,13.55,31.006
0.218,0.145,-1.244,34.363,24.109,35.278
0.237,0.219,-1.257,32.959,28.32,38.269
0.258,0.279,-1.28,35.278,26.55,38.696
0.295,0.322,-1.306,39.551,21.179,36.621
0.331,0.363,-1.334,39.917,14.771,31.677
0.343,0.38,-1.344,35.461,10.559,22.766
0.345,0.382,-1.331,28.015,7.874,12.695
0.349,0.394,-1.293,18.86,4.639,5.188
0.345,0.404,-1.24,9.644,1.282,-0.305
0.333,0.409,-1.176,2.38,-0.671,-3.784
0.324,0.413,-1.121,-2.991,0.183,-6.47
0.311,0.398,-1.084,-6.47,3.418,-7.507
0.302,0.38,-1.058,-8.545,7.141,-7.446
0.296,0.374,-1.034,-11.292,9.583,-6.714
0.293,0.376,-1.017,-14.221,11.047,-5.92
0.294,0.382,-1.002,-16.785,12.329,-5.92
0.292,0.397,-0.985,-18.677,13.367,-6.775
0.293,0.411,-0.976,-19.409,13.428,-8.362
0.282,0.413,-0.974,-19.348,11.597,-9.583
