IIT Ranking,IIT College,NIRF Score,Latitude,Longitude,Image
1,Indian Institute of Technology Madras,89.93,12.9915,80.2337,"https://content.techgig.com/thumb/msid-76073560,width-860,resizemode-4/IIT-Madras-launches-free-online-course-on-Data-Science.jpg?182688"
2,Indian Institute of Technology Delhi,88.08,28.545,77.1926,https://etimg.etb2bimg.com/thumb/779048/73880846.cms&imgsize=&width=800&height=600&resizemode=4?width=900&height=506
3,Indian Institute of Technology Bombay,85.08,19.1334,72.9133,https://www.jagranjosh.com/imported/images/E/Articles/what-makes-iit-bombay.webp
4,Indian Institute of Technology Kanpur,82.18,26.5123,80.2329,https://static.india.com/wp-content/uploads/2018/04/pjimage-30-4.jpg
4,Indian Institute of Technology Kharagpur,80.56,22.3145,87.3091,https://kgpchronicle.iitkgp.ac.in/wp-content/uploads/2019/08/Pic-3.jpg
6,Indian Institute of Technology Roorkee,76.29,29.8649,77.8965,https://smedia2.intoday.in/aajtak/images/stories/062014/iit_roorkee_it_062714072104.jpg
7,Indian Institute of Technology Guwahati,74.9,26.1878,91.6916,"https://img.collegedekhocdn.com/media/img/news/IIT_Guwahati_2020_B.Des_1.png?tr=h-310,w-615"
8,Indian Institute of Technology Hyderabad,66.44,17.5947,78.123,https://cdn.telanganatoday.com/wp-content/uploads/2019/12/IIT-Hyderabad-sees-surge-in.jpg
9,Indian Institute of Technology Indore,62.88,22.5204,75.9207,https://bsmedia.business-standard.com/_media/bs/img/article/2018-11/06/full/1541524784-2037.jpg
10,Indian Institute of Technology (Banaras Hindu University) Varanasi,62.54,25.2623,82.9894,https://images.financialexpress.com/2019/06/BHU-Facebook.jpg
11,Indian Institute of Technology (Indian School of Mines) Dhanbad,62.06,23.8144,86.4412,https://new-img.patrika.com/upload/images/2016/05/26/ISM-dhanbad-646-1464271045_835x547.jpg
12,Indian Institute of Technology Bhubaneswar,56.8,20.1439,85.6762,https://www.theindianwire.com/wp-content/uploads/2019/05/IIT-Bhu.jpg
13,Indian Institute of Technology Gandhinagar,56.15,23.2115,72.6842,https://indianewengland.com/wp-content/uploads/2019/01/IIT-Gandhinagar.png
14,Indian Institute of Technology Ropar,55.95,30.9762,76.5378,https://static.india.com/wp-content/uploads/2019/09/IIT-Roopar.jpg
15,Indian Institute of Technology Patna,55.74,25.5357,84.8512,https://www.myfirstcollege.com/wp-content/uploads/2019/04/PIC_0.jpg
16,Indian Institute of Technology Mandi,54.17,31.7754,76.9861,http://www.iitmandi.ac.in/news/images/dst_grant.jpg
17,Indian Institute of Technology Jodhpur,46.13,26.4711,73.1134,https://images.shiksha.com/mediadata/images/articles/1580124142phpDBWWR4.jpeg
